Reģistrācijas numurs,Nosaukums,Akreditācijas numurs,"Datums, kurā ir uzstādīts statuss",Statusa vērtība,Pamatojums
40103680902,"SIA ""JaunRīga ECO""",I-553,25.04.2020,Apturēts,Apturēta akreditācija: Apturēta akreditācija no 25.04.2020. līdz 25.10.2020. vai līdz neatbilstību novēršanai (21.04.2020. akreditācijas lēmums Nr. 108/2020.)
40003475890,"AS ""LATVIJAS ZAĻAIS PUNKTS""",I-576,31.07.2020,Nav derīgs,Derīguma termiņš beidzies
40003851932,"SIA ""LBRA""",I-498,,Aktīvs,Izveidots
43603024025,"SIA ""CMB""",I-523,,Aktīvs,Izveidots
40003041636,"Sabiedrība ar ierobežotu atbildību ""EKODOMA""",I-543,,Aktīvs,Izveidots
40003130421,"A/S ""Inspecta Latvia""",I-132,,Aktīvs,Izveidots
40002072323,"SIA ""Efekta""",I-578,,Aktīvs,Izveidots
40103680902,"SIA ""JaunRīga ECO""",I-553,,Aktīvs,Izveidots
40003475890,"AS ""LATVIJAS ZAĻAIS PUNKTS""",I-576,,Aktīvs,Izveidots
40003121062,"Tehnisko ekspertu sabiedrība ar ierobežotu atbildību ""TUV Nord Baltik""",I-136,,Aktīvs,Izveidots
